obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
395;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
401;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
402;9;20.000;36;30.000;28;13.333;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;73;7.206
404;9;20.000;15;12.500;7;3.333;6;2.381;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;37;3.653
405;17;37.778;8;6.667;28;13.333;4;1.587;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;57;5.627
408;5;11.111;7;5.833;8;3.810;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;21;2.073
411;7;15.556;15;12.500;8;3.810;11;4.365;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;41;4.047
419;2;4.444;4;3.333;3;1.429;1;0.397;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;10;0.987
420;3;6.667;3;2.500;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;7;0.691
424;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
425;1;2.222;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;1;0.099
435;1;2.222;3;2.500;4;1.905;3;1.190;1;0.476;0;0.000;0;0.000;0;0.000;0;0.000;12;1.185
440;9;20.000;36;30.000;83;39.524;91;36.111;37;17.619;10;8.333;0;0.000;0;0.000;0;0.000;266;26.259
