obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
170;14;21.212;31;14.091;26;5.253;6;0.758;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;77;1.886
171;2;3.030;2;0.909;5;1.010;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;0.269
172;17;25.758;61;27.727;143;28.889;215;27.146;204;22.078;166;20.960;101;20.404;23;10.455;0;0.000;0;0.000;0;0.000;930;22.777
173;27;40.909;102;46.364;280;56.566;414;52.273;462;50.000;462;58.333;330;66.667;165;75.000;55;83.333;11;91.667;1;100.000;2309;56.552
174;25;37.879;109;49.545;269;54.343;509;64.268;549;59.416;436;55.051;289;58.384;131;59.545;42;63.636;7;58.333;0;0.000;2366;57.948
175;1;1.515;2;0.909;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.098
176;2;3.030;10;4.545;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;16;0.392
177;25;37.879;70;31.818;146;29.495;199;25.126;166;17.965;91;11.490;36;7.273;4;1.818;0;0.000;0;0.000;0;0.000;737;18.050
178;1;1.515;1;0.455;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;3;0.073
179;10;15.152;26;11.818;43;8.687;38;4.798;15;1.623;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;133;3.257
180;15;22.727;31;14.091;60;12.121;65;8.207;22;2.381;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;193;4.727
181;4;6.061;20;9.091;13;2.626;9;1.136;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;46;1.127
182;4;6.061;2;0.909;3;0.606;9;1.136;10;1.082;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;29;0.710
184;26;39.394;80;36.364;142;28.687;246;31.061;309;33.442;219;27.652;109;22.020;45;20.455;8;12.121;0;0.000;0;0.000;1184;28.998
185;18;27.273;60;27.273;169;34.141;318;40.152;415;44.913;405;51.136;223;45.051;69;31.364;15;22.727;0;0.000;0;0.000;1692;41.440
186;11;16.667;48;21.818;59;11.919;91;11.490;91;9.848;34;4.293;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;335;8.205
187;19;28.788;89;40.455;252;50.909;490;61.869;669;72.403;637;80.429;422;85.253;190;86.364;58;87.879;11;91.667;1;100.000;2838;69.508
188;22;33.333;93;42.273;188;37.980;267;33.712;215;23.268;112;14.141;57;11.515;21;9.545;0;0.000;0;0.000;0;0.000;975;23.880
189;5;7.576;1;0.455;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;6;0.147
190;29;43.939;103;46.818;242;48.889;348;43.939;447;48.377;449;56.692;312;63.030;161;73.182;54;81.818;11;91.667;1;100.000;2157;52.829
191;7;10.606;17;7.727;16;3.232;15;1.894;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;56;1.372
192;19;28.788;25;11.364;56;11.313;65;8.207;22;2.381;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;187;4.580
194;7;10.606;5;2.273;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;12;0.294
195;23;34.848;95;43.182;258;52.121;459;57.955;584;63.203;528;66.667;347;70.101;157;71.364;45;68.182;8;66.667;1;100.000;2505;61.352
196;3;4.545;8;3.636;10;2.020;12;1.515;4;0.433;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;37;0.906
197;35;53.030;103;46.818;227;45.859;369;46.591;437;47.294;369;46.591;217;43.838;68;30.909;16;24.242;0;0.000;0;0.000;1841;45.089
198;11;16.667;36;16.364;26;5.253;7;0.884;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;80;1.959
201;24;36.364;89;40.455;192;38.788;299;37.753;378;40.909;358;45.202;258;52.121;129;58.636;41;62.121;7;58.333;0;0.000;1775;43.473
202;10;15.152;41;18.636;111;22.424;228;28.788;327;35.390;339;42.803;266;53.737;134;60.909;45;68.182;10;83.333;1;100.000;1512;37.032
203;22;33.333;84;38.182;181;36.566;230;29.040;273;29.545;176;22.222;51;10.303;0;0.000;0;0.000;0;0.000;0;0.000;1017;24.908
205;31;46.970;104;47.273;206;41.616;257;32.449;250;27.056;135;17.045;61;12.323;5;2.273;0;0.000;0;0.000;0;0.000;1049;25.692
