obserwacja;dla_2_atrybutow;%_obserwacji_2;dla_3_atrybutow;%_obserwacji_3;dla_4_atrybutow;%_obserwacji_4;dla_5_atrybutow;%_obserwacji_5;dla_6_atrybutow;%_obserwacji_6;dla_7_atrybutow;%_obserwacji_7;dla_8_atrybutow;%_obserwacji_8;dla_9_atrybutow;%_obserwacji_9;dla_10_atrybutow;%_obserwacji_10;dla_11_atrybutow;%_obserwacji_11;dla_12_atrybutow;%_obserwacji_12;dla_wszystkich_kombinacji;%_obserwacji_caly_zbior
483;11;16.667;50;22.727;143;28.889;257;32.449;334;36.147;321;40.530;217;43.838;117;53.182;42;63.636;9;75.000;1;100.000;1502;36.787
484;3;4.545;8;3.636;14;2.828;6;0.758;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;32;0.784
485;6;9.091;29;13.182;97;19.596;198;25.000;280;30.303;283;35.732;216;43.636;120;54.545;45;68.182;10;83.333;1;100.000;1285;31.472
486;3;4.545;13;5.909;42;8.485;94;11.869;118;12.771;88;11.111;34;6.869;2;0.909;0;0.000;0;0.000;0;0.000;394;9.650
487;4;6.061;9;4.091;11;2.222;5;0.631;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;30;0.735
488;9;13.636;11;5.000;16;3.232;11;1.389;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;48;1.176
489;26;39.394;91;41.364;198;40.000;282;35.606;320;34.632;259;32.702;168;33.939;72;32.727;13;19.697;0;0.000;0;0.000;1429;34.999
490;19;28.788;72;32.727;196;39.596;355;44.823;472;51.082;464;58.586;330;66.667;165;75.000;55;83.333;11;91.667;1;100.000;2140;52.412
491;26;39.394;106;48.182;238;48.081;372;46.970;421;45.563;349;44.066;207;41.818;86;39.091;22;33.333;3;25.000;0;0.000;1830;44.820
492;6;9.091;15;6.818;15;3.030;9;1.136;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;46;1.127
493;15;22.727;53;24.091;133;26.869;216;27.273;244;26.407;218;27.525;147;29.697;72;32.727;24;36.364;4;33.333;0;0.000;1126;27.578
494;12;18.182;32;14.545;72;14.545;105;13.258;118;12.771;94;11.869;51;10.303;22;10.000;5;7.576;1;8.333;0;0.000;512;12.540
495;14;21.212;61;27.727;154;31.111;281;35.480;365;39.502;350;44.192;257;51.919;138;62.727;50;75.758;10;83.333;1;100.000;1681;41.171
496;7;10.606;20;9.091;28;5.657;28;3.535;14;1.515;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;100;2.449
497;23;34.848;100;45.455;269;54.343;492;62.121;640;69.264;600;75.758;396;80.000;195;88.636;61;92.424;12;100.000;1;100.000;2789;68.308
498;2;3.030;2;0.909;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.098
499;4;6.061;11;5.000;5;1.010;6;0.758;1;0.108;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;27;0.661
500;5;7.576;14;6.364;32;6.465;22;2.778;3;0.325;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;76;1.861
501;5;7.576;6;2.727;17;3.434;21;2.652;8;0.866;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;59;1.445
502;10;15.152;29;13.182;62;12.525;126;15.909;191;20.671;198;25.000;148;29.899;79;35.909;28;42.424;5;41.667;0;0.000;876;21.455
503;7;10.606;23;10.455;38;7.677;44;5.556;36;3.896;21;2.652;6;1.212;1;0.455;0;0.000;0;0.000;0;0.000;176;4.311
504;19;28.788;77;35.000;203;41.010;366;46.212;481;52.056;453;57.197;305;61.616;149;67.727;51;77.273;10;83.333;1;100.000;2115;51.800
505;3;4.545;9;4.091;6;1.212;7;0.884;6;0.649;4;0.505;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;36;0.882
506;9;13.636;12;5.455;18;3.636;7;0.884;6;0.649;3;0.379;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;55;1.347
507;12;18.182;46;20.909;90;18.182;121;15.278;88;9.524;37;4.672;7;1.414;0;0.000;0;0.000;0;0.000;0;0.000;401;9.821
508;4;6.061;12;5.455;20;4.040;29;3.662;18;1.948;4;0.505;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;88;2.155
509;20;30.303;80;36.364;213;43.030;376;47.475;487;52.706;468;59.091;331;66.869;165;75.000;55;83.333;11;91.667;1;100.000;2207;54.053
510;2;3.030;11;5.000;24;4.848;21;2.652;8;0.866;2;0.253;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;68;1.665
511;18;27.273;62;28.182;167;33.737;330;41.667;462;50.000;462;58.333;330;66.667;164;74.545;53;80.303;10;83.333;1;100.000;2059;50.429
512;13;19.697;59;26.818;176;35.556;349;44.066;481;52.056;470;59.343;332;67.071;165;75.000;55;83.333;11;91.667;1;100.000;2112;51.727
513;17;25.758;61;27.727;178;35.960;332;41.919;435;47.078;421;53.157;310;62.626;161;73.182;55;83.333;11;91.667;1;100.000;1982;48.543
514;2;3.030;5;2.273;3;0.606;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;0.269
515;10;15.152;24;10.909;40;8.081;43;5.429;29;3.139;7;0.884;3;0.606;0;0.000;0;0.000;0;0.000;0;0.000;156;3.821
516;15;22.727;59;26.818;146;29.495;237;29.924;266;28.788;200;25.253;91;18.384;17;7.727;1;1.515;0;0.000;0;0.000;1032;25.276
517;8;12.121;25;11.364;58;11.717;97;12.247;110;11.905;64;8.081;19;3.838;2;0.909;0;0.000;0;0.000;0;0.000;383;9.380
518;3;4.545;6;2.727;25;5.051;38;4.798;44;4.762;31;3.914;15;3.030;6;2.727;1;1.515;0;0.000;0;0.000;169;4.139
519;6;9.091;26;11.818;69;13.939;151;19.066;186;20.130;153;19.318;81;16.364;18;8.182;3;4.545;0;0.000;0;0.000;693;16.973
520;7;10.606;11;5.000;20;4.040;31;3.914;33;3.571;18;2.273;4;0.808;0;0.000;0;0.000;0;0.000;0;0.000;124;3.037
521;3;4.545;9;4.091;12;2.424;5;0.631;2;0.216;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;31;0.759
522;22;33.333;80;36.364;189;38.182;290;36.616;325;35.173;239;30.177;117;23.636;33;15.000;3;4.545;0;0.000;0;0.000;1298;31.790
523;4;6.061;9;4.091;27;5.455;51;6.439;57;6.169;45;5.682;15;3.030;1;0.455;0;0.000;0;0.000;0;0.000;209;5.119
525;3;4.545;7;3.182;1;0.202;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;11;0.269
526;2;3.030;0;0.000;1;0.202;1;0.126;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;0;0.000;4;0.098
